[21:33:22] Info   ----> Process of diagnostic specification
[21:33:23] Info   DDM-Version: 21.2.1 (Release)
[21:33:23] Info   Importing CDD file E:\workFiles\TC367\TC367\workspace\last364\Config_Vector\MyEcu.cdd, ECU: MyEcu, variant: CommonDiagnostics
[21:33:23] Warn   Migrate DIDs: DID "Example: WriteOnlyDID", 0x0004 and DID Diagnostic Instance "qpath:/Demo_FlexrayOnly/Stored_Data/Example_WriteOnlyDID" have different identifier: 0x4 <> 0x3
[21:33:23] Warn   Migrate DIDs:  Use identifier of Diagnostic Instance 0x3
[21:33:23] Warn   Migrate DIDs: DID "Example: WriteOnlyDID", 0x0004 and DID Diagnostic Instance "qpath:/Demo_Without_2A_UUDT/Stored_Data/Example_WriteOnlyDID" have different identifier: 0x4 <> 0x3
[21:33:23] Warn   Migrate DIDs:  Use identifier of Diagnostic Instance 0x3
[21:33:23] Warn   Migrate DIDs: DID "Example: IO Control", 0x0003 and DID Diagnostic Instance "qpath:/OBD/IOControl/Example_IO_Control" have different identifier: 0x3 <> 0x10
[21:33:23] Warn   Migrate DIDs:  Use identifier of Diagnostic Instance 0x10
[21:33:23] Info   Selecting ECU 'MyEcu'  Variant 'CommonDiagnostics'.
[21:33:23] Info   Selecting Manufacturer 'Vector'.
[21:33:23] Info   'Vector' was selected and 'Vector' was detected.
[21:33:23] Info   Importing Database information.
[21:33:23] Info   ----> Importing Variants
[21:33:23] Info   <---- Importing Variants
[21:33:23] Info   ----> Importing StateGroups
[21:33:23] Info   Importing StateMachine information.
[21:33:23] Info   <---- Importing StateGroups
[21:33:23] Info   ----> Importing Services
[21:33:23] Info   Importing Service '1001'.
[21:33:23] Info   Importing Service '1002'.
[21:33:23] Info   Importing Service '1003'.
[21:33:23] Info   Importing Service '1101'.
[21:33:23] Info   Importing Service '14'.
[21:33:23] Info   Importing Service '1901'.
[21:33:23] Info   Importing Service '1902'.
[21:33:23] Info   Importing Service '1903'.
[21:33:23] Info   Importing Service '1904'.
[21:33:23] Info   Importing Service '1906'.
[21:33:23] Info   Importing Service '1907'.
[21:33:23] Info   Importing Service '1908'.
[21:33:23] Info   Importing Service '1909'.
[21:33:23] Info   Importing Service '190A'.
[21:33:23] Info   Importing Service '190C'.
[21:33:23] Info   Importing Service '190D'.
[21:33:23] Info   Importing Service '1914'.
[21:33:23] Info   Importing Service '220003'.
[21:33:23] Info   Importing Service '220100'.
[21:33:23] Info   Importing Service '220101'.
[21:33:23] Info   Importing Service '22F180'.
[21:33:23] Info   Importing Service '22F187'.
[21:33:23] Info   Importing Service '22F189'.
[21:33:23] Info   Importing Service '22F18C'.
[21:33:23] Info   Importing Service '22F190'.
[21:33:23] Info   Importing Service '22F193'.
[21:33:23] Info   Importing Service '2701'.
[21:33:23] Info   Importing Service '2702'.
[21:33:23] Info   Importing Service '2703'.
[21:33:23] Info   Importing Service '2704'.
[21:33:23] Info   Importing Service '2800'.
[21:33:23] Info   Importing Service '2801'.
[21:33:23] Info   Importing Service '2802'.
[21:33:23] Info   Importing Service '2803'.
[21:33:23] Info   Importing Service '2E0100'.
[21:33:23] Info   Importing Service '2E0101'.
[21:33:23] Info   Importing Service '2EF180'.
[21:33:23] Info   Importing Service '2EF187'.
[21:33:23] Info   Importing Service '2EF189'.
[21:33:23] Info   Importing Service '2EF18C'.
[21:33:23] Info   Importing Service '2EF190'.
[21:33:23] Info   Importing Service '2EF193'.
[21:33:23] Info   Importing Service '2F000300'.
[21:33:23] Info   Importing Service '2F000301'.
[21:33:23] Info   Importing Service '2F000302'.
[21:33:23] Info   Importing Service '2F000303'.
[21:33:23] Info   Importing Service '31010100'.
[21:33:23] Info   Importing Service '31010104'.
[21:33:23] Info   Importing Service '31020100'.
[21:33:23] Info   Importing Service '31030100'.
[21:33:23] Info   Importing Service '31030104'.
[21:33:23] Info   Importing Service '3E00'.
[21:33:23] Info   Importing Service '8501'.
